N,depth,density,distance
1189,7,0.01,22
1190,7,0.01,45
1191,7,0.01,28
1192,7,0.01,50
1193,7,0.01,13
1194,7,0.01,18
1195,7,0.01,36
1196,7,0.01,13
1197,7,0.01,39
1198,7,0.01,28
1199,7,0.01,49
1200,7,0.01,26
1201,7,0.01,67
1202,7,0.01,12
1203,7,0.01,42
1204,7,0.01,90
1205,7,0.01,67
1206,7,0.01,37
1207,7,0.01,23
1208,7,0.01,71
1209,7,0.01,21
1210,7,0.01,17
1211,7,0.01,35
1212,7,0.01,59
1213,7,0.01,29
1214,7,0.01,39
1215,7,0.01,45
1216,7,0.01,44
1217,7,0.01,43
1218,7,0.01,29
1219,7,0.01,45
1220,7,0.01,63
1221,7,0.01,74
1222,7,0.01,36
1223,7,0.01,59
1224,7,0.01,34
1225,7,0.01,47
1226,7,0.01,32
1227,7,0.01,60
1228,7,0.01,64
1229,7,0.01,34
1230,7,0.01,23
1231,7,0.01,39
1232,7,0.01,36
1233,7,0.01,34
1234,7,0.01,29
1235,7,0.01,65
1236,7,0.01,52
1237,7,0.01,19
1238,7,0.01,24
1239,7,0.01,82
1240,7,0.01,54
1241,7,0.01,34
1242,7,0.01,33
1243,7,0.01,46
1244,7,0.01,41
1245,7,0.01,31
1246,7,0.01,20
1247,7,0.01,35
1248,7,0.01,24
1249,7,0.01,67
1250,7,0.01,54
1251,7,0.01,47
1252,7,0.01,7
1253,7,0.01,66
1254,7,0.01,25
1255,7,0.01,23
1256,7,0.01,32
1257,7,0.01,31
1258,7,0.01,41
1259,7,0.01,43
1260,7,0.01,56
1261,7,0.01,9
1262,7,0.01,72
1263,7,0.01,9
1264,7,0.01,63
1265,7,0.01,13
1266,7,0.01,10
1267,7,0.01,77
1268,7,0.01,42
1269,7,0.01,19
1270,7,0.01,45
1271,7,0.01,49
1272,7,0.01,26
1273,7,0.01,37
1274,7,0.01,27
1275,7,0.01,25
1276,7,0.01,13
1277,7,0.01,32
1278,7,0.01,75
1279,7,0.01,11
1280,7,0.01,41
1281,7,0.01,8
1282,7,0.01,39
1283,7,0.01,15
1284,7,0.01,77
1285,7,0.01,35
1286,7,0.01,7
1287,7,0.01,38
1288,7,0.01,92
1289,7,0.01,49
1290,7,0.01,16
1291,7,0.01,35
1292,7,0.01,19
1293,7,0.01,37
1294,7,0.01,61
1295,7,0.01,34
1296,7,0.01,51
1297,7,0.01,36
1298,7,0.01,53
1299,7,0.01,28
1300,7,0.01,50
1301,7,0.01,63
1302,7,0.01,25
1303,7,0.01,16
1304,7,0.01,57
1305,7,0.01,8
1306,7,0.01,73
1307,7,0.01,87
1308,7,0.01,101
1309,7,0.01,32
1310,7,0.01,22
1311,7,0.01,19
1312,7,0.01,45
1313,7,0.01,33
1314,7,0.01,49
1315,7,0.01,23
1316,7,0.01,29
1317,7,0.01,71
1318,7,0.01,22
1319,7,0.01,39
1320,7,0.01,34
1321,7,0.01,32
1322,7,0.01,19
1323,7,0.01,44
1324,7,0.01,83
1325,7,0.01,20
1326,7,0.01,50
1327,7,0.01,28
1328,7,0.01,89
1329,7,0.01,23
1330,7,0.01,54
1331,7,0.01,75
1332,7,0.01,37
1333,7,0.01,22
1334,7,0.01,43
1335,7,0.01,57
1336,7,0.01,41
1337,7,0.01,42
1338,7,0.01,49
1339,7,0.01,31
1340,7,0.01,60
1341,7,0.01,67
1342,7,0.01,12
1343,7,0.01,44
1344,7,0.01,24
1345,7,0.01,68
1346,7,0.01,69
1347,7,0.01,14
1348,7,0.01,39
1349,7,0.01,44
1350,7,0.01,45
1351,7,0.01,50
1352,7,0.01,19
1353,7,0.01,76
1354,7,0.01,4
1355,7,0.01,59
1356,7,0.01,35
1357,7,0.01,49
